fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,DIST_LEY,LEY_MOD_D,GACETA_D,GACE_MOD_D,Shape_Leng,Shape_Area,DIST_CODE
74,"12",COMARCA NGÄBE-BUGLÉ,"07",KUSAPÍN,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 33  DEL 10 DE MAYO DE 2012,GA 23664,GA 27032-B,278938.421311288,843982301.870295,"1207"
75,"12",COMARCA NGÄBE-BUGLÉ,"08",JIRONDAI,LEY N° 33  DEL 10 DE MAYO DE 2012,N/A,GA 27032-B,N/A,391758.702571157,1379657635.35236,"1208"
76,"12",COMARCA NGÄBE-BUGLÉ,"09",SANTA CATALINA O CALOVÉBORA (BLEDESHIA),LEY N° 33  DEL 10 DE MAYO DE 2012,N/A,GA 27032-B,N/A,177207.209883372,903511195.444732,"1209"
77,"13",PANAMÁ OESTE,"01",ARRAIJÁN,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,GA 20006,GA 27443-A,214620.811071978,415868353.208511,"1301"
78,"13",PANAMÁ OESTE,"03",CAPIRA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,GA 20006,GA 27443-A,229503.656665314,974498126.456797,"1303"
79,"13",PANAMÁ OESTE,"04",CHAME,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,GA 20006,GA 27443-A,123654.074270939,375482820.950923,"1304"
80,"13",PANAMÁ OESTE,"07",LA CHORRERA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,GA 20006,GA 27443-A,665228.50559531,788191306.229015,"1307"
81,"13",PANAMÁ OESTE,"09",SAN CARLOS,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 119 DEL 30 DE DICIEMBRE DE 2013,GA 20006,GA 27443-A,99621.4934506266,336930696.062392,"1309"
82,"02",COCLÉ,"01",AGUADULCE,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,151890.235769792,470383247.701276,"0201"
83,"02",COCLÉ,"04",NATÁ,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,266769.142686499,613507806.255958,"0204"
