fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,CORR_ID,CORR_NOMB,CORR_LEY,LEY_MOD_C,GACETA_C,GACE_MOD_C,Shape_Leng,Shape_Area,REGI_ID,CORR_CODE,DIST_CODE
73,"03",COLÓN,"01",COLÓN,"13",SAN JUAN,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,68678.0182465224,41691883.063697,"0302","030113","0301"
74,"03",COLÓN,"01",COLÓN,"14",SANTA ROSA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,34331.1187590445,27546289.4826413,"0302","030114","0301"
75,"03",COLÓN,"01",COLÓN,"15",CRISTÓBAL ESTE,LEY N° 20 DEL 30 DE SEPTIEMBRE DE 2014,N/A,GA 27634-A,N/A,59771.6500414548,28920991.1534852,"0305","030115","0301"
76,"03",COLÓN,"02",CHAGRES,"01",NUEVO CHAGRES,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,14427.3224495754,5721246.49570241,"0307","030201","0302"
77,"03",COLÓN,"02",CHAGRES,"02",ACHIOTE,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,54966.9973348617,62070760.9936817,"0307","030202","0302"
78,"03",COLÓN,"02",CHAGRES,"03",EL GUABO,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,48331.3928494671,52691250.809372,"0306","030203","0302"
79,"03",COLÓN,"02",CHAGRES,"04",LA ENCANTADA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,85599.6163733646,135553780.304316,"0306","030204","0302"
80,"03",COLÓN,"02",CHAGRES,"05",PALMAS BELLAS,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,61749.672015216,55401777.6637687,"0307","030205","0302"
81,"03",COLÓN,"02",CHAGRES,"06",PIÑA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,30988.3119909912,29884784.5445658,"0307","030206","0302"
82,"03",COLÓN,"02",CHAGRES,"07",SALUD,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,60150.1338537614,106099477.146118,"0307","030207","0302"
83,"03",COLÓN,"03",DONOSO,"01",MIGUEL DE LA BORDA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,122022.509130787,310678553.973149,"0308","030301","0303"
84,"03",COLÓN,"03",DONOSO,"02",COCLÉ DEL NORTE,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,"LEY N° 11 DEL 20 DE FEBRERO DE 2018,",GA 19981,GA 28469-B,288517.690416796,932409293.294395,"0309","030302","0303"
85,"03",COLÓN,"03",DONOSO,"03",EL GUÁSIMO,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 296 DEL 26 DE ABRIL DE 2022,GA 19981,GA 29524-B,97016.417491544,295273514.814095,"0308","030303","0303"
86,"03",COLÓN,"03",DONOSO,"04",GOBEA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,44879.2071388325,53628849.2477392,"0308","030304","0303"
87,"03",COLÓN,"03",DONOSO,"05",RÍO INDIO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,67836.6969320388,36471981.3054714,"0308","030305","0303"
88,"03",COLÓN,"04",PORTOBELO,"02",CACIQUE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,24240.4579792615,11686418.2956722,"0310","030402","0304"
89,"03",COLÓN,"04",PORTOBELO,"03",PUERTO LINDO O GARROTE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,40481.6271733318,24670052.883805,"0310","030403","0304"
90,"03",COLÓN,"04",PORTOBELO,"04",ISLA GRANDE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,45331.5344774608,26919717.5965551,"0310","030404","0304"
91,"03",COLÓN,"04",PORTOBELO,"05",MARÍA CHIQUITA,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,66103.0005859233,90829480.5188155,"0310","030405","0304"
92,"03",COLÓN,"05",SANTA ISABEL,"01",PALENQUE,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,69455.2130179762,68634403.1714259,"0310","030501","0305"
93,"03",COLÓN,"05",SANTA ISABEL,"02",CUANGO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,37004.3774549355,46052078.2683557,"0310","030502","0305"
94,"03",COLÓN,"05",SANTA ISABEL,"03",MIRAMAR,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,29222.2090549618,15936639.0431163,"0310","030503","0305"
95,"03",COLÓN,"05",SANTA ISABEL,"04",NOMBRE DE DIOS,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,80088.1894998904,150325818.714845,"0310","030504","0305"
96,"03",COLÓN,"05",SANTA ISABEL,"05",PALMIRA,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,91289.8122806863,176876799.827715,"0310","030505","0305"
97,"03",COLÓN,"05",SANTA ISABEL,"06",PLAYA CHIQUITA,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,88202.5884876547,113030603.185059,"0310","030506","0305"
98,"03",COLÓN,"05",SANTA ISABEL,"07",SANTA ISABEL,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,70996.7845822725,134337273.834429,"0310","030507","0305"
99,"03",COLÓN,"05",SANTA ISABEL,"08",VIENTO FRÍO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,36093.0167161152,34641732.3575137,"0310","030508","0305"
